"","HenID","Status","Age","Fate","CaptureDate","LastHeardDate","FateDate"
"390","H816","mortality","adult",10,2018-03-30,2018-08-13,"2018-09-26"
"391","H817","mortality","adult",4,2018-04-03,2019-04-25,"2019-05-22"
"392","H818","mortality","adult",10,2018-04-03,2019-09-26,"2020-03-10"
"393","H819","mortality","juvenile",10,2018-04-03,2018-08-01,"2018-08-07"
"394","H82","mortality","juvenile",10,2011-04-11,2012-11-14,"2013-01-14"
"395","H820","mortality","adult",5,2018-04-05,2019-08-02,"2019-09-26"
"396","H821","censored","juvenile",2,2018-04-05,2020-03-10,"2020-03-10"
"397","H822","mortality","juvenile",5,2018-04-05,2020-04-24,"2020-05-22"
"398","H823","mortality","juvenile",3,2018-04-05,2020-03-10,"2020-04-23"
"399","H824","mortality","adult",4,2018-04-05,2019-09-03,"2019-09-06"
"400","H825","mortality","juvenile",10,2018-04-05,2018-08-13,"2018-09-26"
"401","H826","mortality","juvenile",4,2018-04-06,2018-06-11,"2018-06-13"
"402","H827","mortality","adult",5,2018-04-06,2019-04-08,"2019-04-18"
"403","H828","mortality","juvenile",10,2018-04-06,2018-07-24,"2018-08-13"
"404","H829","mortality","juvenile",10,2018-04-06,2018-07-22,"2018-08-13"
"405","H83","mortality","juvenile",10,2011-04-12,2011-09-16,"2011-11-09"
"406","H830","mortality","adult",10,2018-04-08,2018-05-26,"2018-05-29"
"407","H831","mortality","juvenile",4,2018-04-08,2018-07-16,"2018-07-18"
"408","H832","censored","juvenile",1,2018-09-28,2020-07-18,"2020-07-18"
"409","H833","mortality","juvenile",5,2018-10-02,2019-03-02,"2019-04-08"
"410","H84","mortality","adult",3,2011-04-12,2011-11-09,"2011-12-08"
"411","H85","censored","adult",2,2011-04-12,2012-05-17,"2012-05-17"
"412","H86","censored","juvenile",2,2011-04-11,2014-03-31,"2014-03-31"
"413","H87","mortality","adult",5,2011-04-11,2011-06-16,"2011-06-27"
"414","H88","mortality","juvenile",5,2011-04-12,2012-06-28,"2012-10-15"
"415","H89","mortality","adult",10,2011-04-02,2011-08-03,"2011-09-08"
"416","H9","censored","adult",2,2011-04-14,2012-10-05,"2012-10-05"
"417","H90","mortality","adult",5,2011-04-11,2012-04-20,"2012-04-21"
"418","H91","mortality","adult",5,2011-04-06,2012-08-22,"2012-10-16"
"419","H92","mortality","juvenile",10,2011-04-06,2011-08-03,"2011-09-16"
"420","H93","censored","juvenile",2,2011-04-05,2014-01-16,"2014-01-16"
"421","H94","mortality","adult",5,2011-04-04,2011-06-17,"2011-06-28"
"422","H942","mortality","juvenile",3,2019-08-08,2019-08-22,"2019-09-26"
"423","H943","mortality","juvenile",5,2019-08-08,2020-11-24,"2020-12-23"
"424","H944","mortality","juvenile",10,2019-08-12,2020-04-29,"2020-05-28"
"425","H946","mortality","juvenile",10,2019-08-20,2020-03-10,"2020-04-29"
"426","H947","censored","juvenile",2,2019-08-21,2020-09-24,"2020-09-24"
"427","H948","censored","juvenile",1,2019-09-01,2020-08-24,"2020-08-24"
"428","H949","censored","juvenile",2,2019-09-10,2019-10-29,"2019-10-29"
"429","H95","mortality","adult",10,2011-04-05,2011-05-06,"2011-05-26"
"430","H950","mortality","juvenile",4,2019-09-10,2019-10-29,"2020-01-09"
"431","H951","mortality","juvenile",10,2019-10-03,2020-03-10,"2020-04-28"
"432","H952","mortality","juvenile",10,2019-10-03,2020-07-18,"2020-08-24"
"433","H96","dropped collar","juvenile",8,2011-04-05,2011-08-03,"2011-08-04"
"434","H97","mortality","adult",10,2011-04-05,2011-08-03,"2011-09-08"
"435","H972","mortality","juvenile",3,2020-03-27,2020-05-27,"2020-06-17"
"436","H973","censored","juvenile",2,2020-03-27,2020-06-01,"2020-06-01"
"437","H974","mortality","juvenile",10,2020-03-27,2020-08-24,"2020-10-23"
"438","H975","censored","juvenile",2,2020-03-27,2021-03-25,"2021-03-25"
"439","H976","censored","juvenile",2,2020-03-27,2021-03-25,"2021-03-25"
"440","H978","censored","juvenile",2,2020-03-28,2021-01-28,"2021-01-28"
"441","H979","censored","juvenile",2,2020-03-28,2020-04-29,"2020-04-29"
"442","H98","mortality","adult",10,2011-04-04,2011-09-08,"2011-11-09"
"443","H981","censored","adult",2,2020-03-30,2021-03-25,"2021-03-25"
"444","H982","mortality","juvenile",5,2020-03-30,2020-06-30,"2020-07-09"
"445","H983","mortality","adult",3,2020-03-31,2020-03-31,"2020-04-28"
"446","H984","mortality","juvenile",3,2020-03-31,2020-03-31,"2020-04-28"
"447","H985","mortality","adult",4,2020-03-31,2020-12-23,"2021-01-28"
